cellId,moduleId,topology,seriesCount,parallelCount,cycle,time,current,voltage,temperature,internalResistanceMOhm,capacityAh,referenceSoc,soh,nominalCapacityAh,sourceDataset,dataProvenance,measurementScope
C001,M1,96S1P,96,1,1,0,101.22,3.4121,29.8,0.42812,101.22,100.0,0.992353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C001,M1,96S1P,96,1,1,1800,101.22,3.3021,30.7,0.42812,101.22,50.0,0.992353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C001,M1,96S1P,96,1,1,3600,101.22,3.1921,31.6,0.42812,101.22,0.0,0.992353,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C002,M1,96S1P,96,1,1,0,101.29,3.4129,30.1,0.42994,101.29,100.0,0.993039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C002,M1,96S1P,96,1,1,1800,101.29,3.3029,31.0,0.42994,101.29,50.0,0.993039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C002,M1,96S1P,96,1,1,3600,101.29,3.1929,31.9,0.42994,101.29,0.0,0.993039,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C003,M1,96S1P,96,1,1,0,101.35,3.4138,30.2,0.43178,101.35,100.0,0.993627,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C003,M1,96S1P,96,1,1,1800,101.35,3.3038,31.1,0.43178,101.35,50.0,0.993627,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C003,M1,96S1P,96,1,1,3600,101.35,3.1938,32.0,0.43178,101.35,0.0,0.993627,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C004,M1,96S1P,96,1,1,0,101.41,3.4145,30.1,0.43362,101.41,100.0,0.994216,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C004,M1,96S1P,96,1,1,1800,101.41,3.3045,31.0,0.43362,101.41,50.0,0.994216,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C004,M1,96S1P,96,1,1,3600,101.41,3.1945,31.9,0.43362,101.41,0.0,0.994216,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C005,M1,96S1P,96,1,1,0,101.47,3.4153,29.9,0.43446,101.47,100.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
C005,M1,96S1P,96,1,1,1800,101.47,3.3053,30.8,0.43446,101.47,50.0,0.994804,102.0,pack-consistency-demo-derived,deterministic-engineering-pack-simulation,multi-cell-cycle-pack-demo
