time_s,current_a,voltage_v,temperature_c,reference_soc_pct
0,0.00,3.465,25.0,92.00
120,0.00,3.467,25.0,92.00
240,0.00,3.464,25.0,92.00
360,0.00,3.463,25.0,92.00
480,0.00,3.466,25.0,92.00
600,0.00,3.467,25.0,92.00
720,0.00,3.464,25.0,92.00
840,0.00,3.464,25.0,92.00
960,17.92,3.451,25.0,92.00
1080,23.53,3.435,25.0,91.40
1200,17.40,3.418,25.1,90.62
1320,16.82,3.408,25.1,90.04
1440,16.05,3.399,25.1,89.48
1560,15.13,3.385,25.1,88.94
1680,14.09,3.373,25.2,88.44
1800,12.97,3.367,25.2,87.97
1920,11.82,3.367,25.2,87.54
2040,10.69,3.363,25.2,87.14
2160,15.37,3.360,25.2,86.79
2280,8.64,3.364,25.2,86.27
2400,7.80,3.363,25.2,85.99
2520,7.14,3.359,25.2,85.73
2640,6.68,3.360,25.2,85.49
2760,6.44,3.361,25.2,85.27
2880,6.42,3.359,25.2,85.05
3000,6.64,3.356,25.2,84.84
3120,7.07,3.357,25.2,84.62
3240,13.47,3.355,25.2,84.38
3360,8.52,3.353,25.2,83.93
3480,9.48,3.351,25.2,83.65
3600,10.55,3.352,25.2,83.33
3720,11.68,3.350,25.2,82.98
3840,12.83,3.346,25.2,82.59
3960,13.95,3.344,25.2,82.16
4080,15.01,3.345,25.2,81.70
4200,15.94,3.341,25.2,81.20
4320,22.49,3.334,25.3,80.66
4440,17.34,3.336,25.3,79.92
4560,17.74,3.336,25.3,79.34
4680,17.91,3.331,25.3,78.75
4800,17.86,3.327,25.3,78.15
4920,17.58,3.328,25.4,77.55
5040,17.08,3.327,25.4,76.97
5160,16.39,3.322,25.4,76.40
5280,15.53,3.321,25.4,75.85
5400,20.29,3.320,25.4,75.33
5520,13.44,3.319,25.4,74.66
5640,12.30,3.316,25.4,74.21
5760,11.16,3.317,25.4,73.80
5880,10.05,3.319,25.4,73.43
6000,9.03,3.317,25.4,73.09
6120,8.13,3.315,25.4,72.79
6240,7.39,3.318,25.4,72.52
6360,6.84,3.319,25.4,72.27
